NPI	NPPES_PROVIDER_LAST_ORG_NAME	NPPES_PROVIDER_FIRST_NAME	NPPES_PROVIDER_CITY	NPPES_PROVIDER_STATE	SPECIALTY_DESC	DESCRIPTION_FLAG	DRUG_NAME	GENERIC_NAME	BENE_COUNT	TOTAL_CLAIM_COUNT	TOTAL_DAY_SUPPLY	TOTAL_DRUG_COST	BENE_COUNT_GE65	BENE_COUNT_GE65_REDACT_FLAG	TOTAL_CLAIM_COUNT_GE65	GE65_REDACT_FLAG	TOTAL_DAY_SUPPLY_GE65	TOTAL_DRUG_COST_GE65
1457346579	ABELL	AUDREY	PLAINFIELD	IN	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		14	540	3098.64		*	14		540	3098.64
1275597189	ABELL-ROSEN	MARCELLE	FORT LAUDERDALE	FL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		17	780	4151.64		*	17		780	4151.64
1518068493	ABEMAYOR	VIOLET	NEW HYDE PARK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		22	1440	7770.68		#		#		
1548272149	ABEND	ROBERT	MISSION HILLS	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	420	2561.71		*	12		420	2561.71
1265497366	ABERNATHY	DAVID	MORGANTON	NC	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		16	720	4431.42		*	16		720	4431.42
1548248339	ABITTAN	MEYER	ROSLYN	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		19	1570	8898.14		*	19		1570	8898.14
1255300307	ABOULEISH	HASSAN	HOULTON	ME	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	570	3116.34		*		*		
1144242066	ABOVICH	EDGAR	JUPITER	FL	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		12	840	4986.55		*	12		840	4986.55
1033270293	ABRAHAMIAN	AZNIV	NORTH HOLLYWOOD	CA	General Practice	S	LIPITOR	ATORVASTATIN CALCIUM		19	570	3486.6		#		#		
1568422574	ABRAMOVICH	GALINA	BROOKLYN	NY	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2387.03		*	12		360	2387.03
1275540098	ABRAMS	HOWARD	TORRANCE	CA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		11	810	4796.32		*	11		810	4796.32
1174645386	ABRAMS	RICHARD	DENVER	CO	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	1020	5118.87		*	13		1020	5118.87
1457441750	ABRAMS	ROBERT	NEW YORK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		22	840	3847.46		#		#		
1801884309	ABRAMSON	MARLA	BERKELEY HEIGHTS	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		24	2040	10909		*	24		2040	10909
1588750434	ABROON	JOHN	NEW YORK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		28	1320	6549.03		*	28		1320	6549.03
1578558847	ABUBAKAR	SHAIK	JERSEY CITY	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	1835.29		*		*		
1912980962	ACEBO	FRANCISCO	CORPUS CHRISTI	TX	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		15	450	2426.74		*	15		450	2426.74
1457321218	ACEBO	RAYMOND	CORPUS CHRISTI	TX	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		17	810	4483.12		#		#		
1104895135	ACEVEDO	ANGELA	CRYSTAL RIVER	FL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		14	660	2976.3		*	14		660	2976.3
1245270560	ACEVEDO	LORIEVA	PONCE	PR	General Practice	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	1812.13		*	12		360	1812.13
1245284090	ACEVEDO	ROLANDO	PEMBROKE PINES	FL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		15	570	2942.62		*		*		
1215031216	ACEVES	JOSE	WHITTIER	CA	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	1865.15		*	13		390	1865.15
1770685521	ACHARYA	SHASHIDAR	ORANGE	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	1080	5269.92		*	12		1080	5269.92
1073514386	ACHINGER	STEVEN	LAKELAND	FL	Nephrology	S	LIPITOR	ATORVASTATIN CALCIUM		18	880	4772.01		*	18		880	4772.01
1134149909	ACKAD	VIVIANE	NEWARK	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2425.44		*	12		360	2425.44
1033205265	ACKERMAN	KENNETH	GREAT NECK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		29	1290	6285		*	29		1290	6285
1467428128	ACKERMANN	RICHARD	MACON	GA	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2170.39		*	11		330	2170.39
1417991803	ACKERT	GREGORY	NEW HYDE PARK	NY	Gastroenterology	S	LIPITOR	ATORVASTATIN CALCIUM		19	1552	9444.77		*	19		1552	9444.77
1891868840	ACOSTA	MARC	METAIRIE	LA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	2580.4	0		0		0	0
1871524769	ADAM	SUZANNE	READING	PA	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		19	570	4439.84		*	19		570	4439.84
1881638781	ADAMO	LOUIS	SCRANTON	PA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		17	570	3143.52		*		*		
1700882495	ADAMS	JAMES	MAPLEWOOD	MN	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		17	788	2867.21		*	17		788	2867.21
1659399269	ADAMS	KIMBERLY	LAS VEGAS	NV	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		19	630	4134.28		*	19		630	4134.28
1689849218	ADASKIN	DILIA	STATEN ISLAND	NY	Nurse Practitioner	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2365.81		*	12		360	2365.81
1649252818	ADCOCK	JIMMIE	CHARLOTTE	NC	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		22	840	4832.32		*	11		390	2465.41
1851351571	ADDEO	JOSEPH	BROOKLYN	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		16	960	5423.76		*	16		960	5423.76
1154429215	ADEBAYO	ADEGBOYEGA	NEW YORK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		18	660	4173.78		*	18		660	4173.78
1356314751	ADELIZZI	ANGELA	TOMS RIVER	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	1170	6398.29		*	13		1170	6398.29
1033219852	ADES	JOSEPH	TARRYTOWN	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		18	630	3345.68		*	18		630	3345.68
1275631921	ADHAM	ABDALLAH	DALLAS	TX	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2183.44		*	11		330	2183.44
1003122094	ADKINS	KATHLEEN	WASHINGTON COURT HOUSE	OH	Nurse Practitioner	S	LIPITOR	ATORVASTATIN CALCIUM		14	540	3435.04		#		#		
1629078803	ADLER	HOWARD	NEW YORK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		20	600	2746.56	0		0		0	0
1609898469	ADLER	LAWRENCE	NEW YORK	NY	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		19	600	3633.68		*	19		600	3633.68
1548409816	ADRIANO	MIA ISADORA	GLENDALE	AZ	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		11	690	3029.87		*	11		690	3029.87
1841394913	AFSHAR	HOSEIN	SIMI VALLEY	CA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		13	630	3533.05		*	13		630	3533.05
1639259328	AFTERGOOD	DAVID	BEVERLY HILLS	CA	Endocrinology	S	LIPITOR	ATORVASTATIN CALCIUM		14	721	4322.2		*		*		
1063442143	AGABABIAN	GOR	GLENDALE	CA	General Practice	S	LIPITOR	ATORVASTATIN CALCIUM		20	600	3865.2		*		*		
1699858506	AGAON	GAVRIIL	REGO PARK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	1680.36		*	12		360	1680.36
1568427649	AGATSTON	ARTHUR	MIAMI BEACH	FL	Internal Medicine	T	LIPITOR	ATORVASTATIN CALCIUM		16	750	3846.99		*	16		750	3846.99
1649234055	AGBEYEGBE	KINGSLEY	EAST POINT	GA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2192.68		*	11		330	2192.68
1982708467	AGRAWAL	RAM	WATERVLIET	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		14	478	3082.12		*	14		478	3082.12
1093953747	AGRAWAL	SUNIL	TULSA	OK	Nephrology	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2539.92	0		0		0	0
1255389813	AGRESTI	JAMES	NUTLEY	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		32	1200	7089.32		*	32		1200	7089.32
1578511135	AGRESTI	JAMES	NUTLEY	NJ	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM	13	41	2250	12457.98		#		#		
1326128695	AGUILAR	DAVID	HOUSTON	TX	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	2566.46		*	13		390	2566.46
1417964651	AGUS	BERTRAND	NEW YORK	NY	Rheumatology	S	LIPITOR	ATORVASTATIN CALCIUM		11	450	2768.52		*	11		450	2768.52
1952391906	AGUS	SAUL	NEW YORK	NY	Gastroenterology	S	LIPITOR	ATORVASTATIN CALCIUM		19	1110	5401.39		*	19		1110	5401.39
1225288582	AGVANYAN	EDGAR	GLENDALE	CA	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2181.79		*	11		330	2181.79
1144254590	AGZARIAN	ANITA	LOS ANGELES	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		17	1050	5812.9		*	17		1050	5812.9
1952356214	AHDOOT	JACOB	IRVINE	CA	Nephrology	S	LIPITOR	ATORVASTATIN CALCIUM		17	570	3674.55		*	17		570	3674.55
1568559102	AHDOOT	JONATHAN	IRVINE	CA	Pulmonary Disease	S	LIPITOR	ATORVASTATIN CALCIUM		26	1016	4754.09		*	26		1016	4754.09
1851368690	AHERNE	TERENCE	ROSELAND	NJ	Geriatric Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		15	1200	6585.48		*	15		1200	6585.48
1649336264	AHMAD	MIR	NORTH BRUNSWICK	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	362	1665.27		*		*		
1700868023	AHMAD	NADEEM	FRANKFORT	IL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2479.92		*	12		360	2479.92
1063423317	AHMAD	NASEER	FARMINGTON HILLS	MI	Endocrinology	S	LIPITOR	ATORVASTATIN CALCIUM		12	390	2520.8		*	12		390	2520.8
1851602940	AHMAD	SAFIA	TOLEDO	OH	Student in an Organized Health Care Education/Training Program	T	LIPITOR	ATORVASTATIN CALCIUM		18	272	1761.36	0		0		0	0
1629162177	AHMAD	SYED	LAWRENCEVILLE	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2153.36	0		0		0	0
1023055506	AHMADIAN	FERESHTEH	FAIRFIELD	CT	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		16	660	4146.3		*	16		660	4146.3
1912093436	AHMADPOUR	HED	LAKEWOOD	CA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		27	1792	9550.1		#		#		
1316046188	AHMED	AMAN	CINCINNATI	OH	Geriatric Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		24	342	2523.81		*	24		342	2523.81
1174591119	AHMED	IFTEQUAR	RALEIGH	NC	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		19	733	4131.09		*		*		
1619986155	AHMED	IMTIAZ	SPRINGFIELD	OH	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		11	570	3503.99		*	11		570	3503.99
1821157231	AHMED	LUBNA	HAMILTON	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	1683.9		*	12		360	1683.9
1902800899	AHMED	MAHMOOD	GRIFFIN	GA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		14	423	2748.08		#		#		
1659408813	AHMED	NASIM	BROOKSVILLE	FL	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		13	450	2914.13		*	13		450	2914.13
1568434553	AHMED	SALEEM	PITTSBURGH	PA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		15	690	2976.49		*	15		690	2976.49
1245262377	AHMED	SHAH-HINAN	SAN ANTONIO	TX	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2326.55		*	12		360	2326.55
1659301745	AHMED	SHAHED	BROOKLYN	NY	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		17	810	4338.55		*	17		810	4338.55
1124050067	AHMED	ZAHRA	GREENBELT	MD	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2370.9		*	12		360	2370.9
1427015593	AHN	KYU	POMONA	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		16	480	2326.58		*	16		480	2326.58
1255397204	AIELLO	TIFFANY	AVON	NY	General Practice	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2193.74	0		0		0	0
1902898869	AIJIAN	PAUL	SANTA BARBARA	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	554	3699		*	13		554	3699
1932204930	AINTABLIAN	AGOP	GLENDALE	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		38	1140	7093.46		#		#		
1003887464	AIYER	ARYAN	PITTSBURGH	PA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	1683.9		*	12		360	1683.9
1407885205	AKALIN	ENVER	BRONX	NY	Nephrology	S	LIPITOR	ATORVASTATIN CALCIUM		21	630	3980.42		#		#		
1073618666	AKBARI	MARJANEH	FAIRFAX	VA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		11	870	3879.11		*	11		870	3879.11
1598763906	AKHAVAN	IRAJ	NEW YORK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	1560.06		*	11		330	1560.06
1013025394	AKHLAGHI	IRAJ	TORRANCE	CA	Gastroenterology	S	LIPITOR	ATORVASTATIN CALCIUM		12	1020	4943.85		*	12		1020	4943.85
1275550634	AKILA	NADANAGURU	HORSEHEADS	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		19	570	3837.74		#		#		
1871598052	AKIN	CARL	INDEPENDENCE	MO	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2156.29		*	11		330	2156.29
1639126113	AKKAD	AYMAN	TOWSON	MD	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		17	750	4767.89		*	17		750	4767.89
1811999766	AKSELRUD	MARK	TAMARAC	FL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	570	3657.81		*	13		570	3657.81
1194890236	AKSUT	SEYDI	SELMA	AL	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2377.78		*	12		360	2377.78
1205960630	AL-DALLI	MOHAMMED	MCLEAN	VA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	1823.29		*	13		390	1823.29
1528020765	AL-RAQQAD	AHMAD	PAWTUCKET	RI	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		23	750	4801.26		*	11		390	2426.76
1982824389	ALABI	TITILAYO	SALEM	MA	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		13	750	3615.42		#		#		
1639282601	ALAMO	ALDO	FORT LAUDERDALE	FL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2425.62		*	12		360	2425.62
1154473585	ALAMO	AQUILINO	BOOTHBAY HARBOR	ME	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	750	4585.65		*	13		750	4585.65
1194740225	ALARIO	FRANK	MARLBORO	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	990	5264.27		#		#		
1396740627	ALAZIZ	ATIF	TARZANA	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM	13	48	2910	16891.96		#	35		2520	14329.9
1952463846	ALBRIGHT	DAVID	OCALA	FL	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	2560.45		*	13		390	2560.45
1184678260	ALCAREZ	KATHRYN	NEW YORK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		16	480	2888.2		#		#		
1225091713	ALCEDO	FRANCIS	TRUMBULL	CT	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	510	3276.58		*	13		510	3276.58
1679525018	ALCENA	VALIERE	WHITE PLAINS	NY	Hematology/Oncology	S	LIPITOR	ATORVASTATIN CALCIUM		15	690	3574.31		*	15		690	3574.31
1609808823	ALDERSON	JAMES	BIRMINGHAM	AL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		18	540	2509.05		#		#		
1235116633	ALDINGER	KEITH	HOUSTON	TX	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	1541.73		*	11		330	1541.73
1841253044	ALDRICH	HARRY	SOUTH MIAMI	FL	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		11	870	5093.46		*		*		
1962573121	ALEKSANDROVICH	VIKTORIA	BROOKLYN	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		33	990	5446.77		*	33		990	5446.77
1023072253	ALEMAN	EDGAR	GLENDALE	CA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		24	840	4358.96		*	24		840	4358.96
1457394496	ALERTE	SERGE	ROCHDALE	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		11	390	2289.81		*	11		390	2289.81
1710921754	ALEXANDER	JONATHAN	DANBURY	CT	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		15	1290	7326.7		*	15		1290	7326.7
1831145580	ALEXANDER	RICHARD	SALEM	MA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		14	600	3080.29		*		*		
1386622439	ALEXANDER	ROGER	MILFORD	DE	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		16	1140	6406.98		#		#		
1033191838	ALEXANDER	THOMAS	CORPUS CHRISTI	TX	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		13	720	4509.89		*	13		720	4509.89
1568464279	ALEXEYENKO	ALEXANDRE	LYNN	MA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		64	1980	12703.54		#		#		
1184619017	ALFONSO	RENATO	PALM COAST	FL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		16	1140	6155.56		#		#		
1427128909	ALFORD	RODNEY	KANKAKEE	IL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		17	363	1670	0		0		0	0
1396761672	ALI	AHMAD	EDENTON	NC	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		23	299	1589.95		*	23		299	1589.95
1639256548	ALI	IRSHAD	KENMORE	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		24	1618	11642.62		#		#		
1376567776	ALI	MIR	ARCADIA	CA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2400.12		*	12		360	2400.12
1699707653	ALI	MUHAMMAD	ALEXANDRIA	VA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		20	960	5907.37		*	20		960	5907.37
1972587889	ALI	SHAHINA	BAYTOWN	TX	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		13	510	2554.15		#		#		
1063446631	ALI	SHAIK	S. RICHMOND HILL	NY	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2035.32		*	11		330	2035.32
1962404723	ALIABADI	DAVID	THOUSAND OAKS	CA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		11	930	4357.86		*	11		930	4357.86
1417064759	ALISUAG	ANDRES	MANASSAS	VA	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2161.79		*	11		330	2161.79
1770518680	ALIZADEH	MASSOUD	HAGERSTOWN	MD	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	2373.9		*	12		360	2373.9
1942333877	ALIZADEH,MD INC.	AMIR	NORTH PROVIDENCE	RI	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		19	690	3401.17		*	19		690	3401.17
1447295613	ALLAN	J.	POWELL	TN	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		11	390	2482.28		*	11		390	2482.28
1649297151	ALLAN	JAMES	LITTLE CANADA	MN	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	1708.56		*	12		360	1708.56
1316935174	ALLEMAND	PEGGY	KINDER	LA	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	1100.94		*	11		330	1100.94
1134202658	ALLEN	BYRON J	ORANGE	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		33	1410	8509.32		*	33		1410	8509.32
1316945314	ALLEN	JOSEPH	BOWLING GREEN	KY	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		51	730	2393.1		*	51		730	2393.1
1508887365	ALLEN	JOSEPH	MEMPHIS	TN	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		15	750	4732.44		*	15		750	4732.44
1477683936	ALLEN	JOSHUA	MT WASHINGTON	KY	Pediatric Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	2485.53		*	13		390	2485.53
1356309892	ALLEN	MARC	COMMACK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		15	840	4087.57		#		#		
1366429714	ALLEN	MICHAEL	EVANSVILLE	IN	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		11	390	1740.76		*	11		390	1740.76
1639195977	ALLEN	ROBERT	GOLD CANYON	AZ	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		15	1110	6642.73		#		#		
1801854294	ALLEN	THOMAS	KANSAS CITY	MO	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		12	480	2970.42		*	12		480	2970.42
1912955824	ALLEN	WILLIAM	ROGERS	AR	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		20	600	3814.85		*	20		600	3814.85
1518938778	ALLEVA	ANTHONY	GREENWICH	CT	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		25	1290	7741.32		#		#		
1467439414	ALLISON	DON	WACO	TX	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		11	329	2199.46	0		0		0	0
1750339719	ALLISON	ROBERT	DALLAS	TX	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	1863.82		#		#		
1568496685	ALLONGO	JOSE	LOXAHATCHEE	FL	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		19	750	4321.77		#		#		
1285691865	ALLRED	DEBRA	TWIN FALLS	ID	Nurse Practitioner	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	1813.46		*	13		390	1813.46
1144268665	ALLSUP	KAREN	LONG BEACH	CA	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	1677.6		*	12		360	1677.6
1790782589	ALMOND	HILTON	RICHMOND	VA	Gastroenterology	S	LIPITOR	ATORVASTATIN CALCIUM		11	330	2168.16		*	11		330	2168.16
1750451407	ALOYTS	BELLA	BROOKLYN	NY	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	2540.63		*	13		390	2540.63
1285725036	ALPERIN	ROBERT	BROOKLYN	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		18	900	5067.84		*	18		900	5067.84
1063412708	ALPERT	DANIEL	NEW YORK	NY	Gastroenterology	S	LIPITOR	ATORVASTATIN CALCIUM		11	450	2029.58		*	11		450	2029.58
1265434880	ALSUP	ACE	AUSTIN	TX	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		13	390	1801.26		*		*		
1245231174	ALTAVAS	VALERIE	NATIONAL CITY	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		14	600	3167.92		*		*		
1285736124	ALTBAUM	ROBERT	WESTPORT	CT	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		37	1470	8579.66		*	37		1470	8579.66
1629079330	ALTERMAN	LLOYD	BERKELEY HEIGHTS	NJ	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		16	1440	6559.6		*	16		1440	6559.6
1881680775	ALTHERR	DORIS	PLAINVILLE	CT	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		16	720	3969.89		*	16		720	3969.89
1114954005	ALTMANN	DORY	EAST BRUNSWICK	NJ	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		27	1455	8679.73		*	27		1455	8679.73
1023034774	ALTURK	NAJIB	TOMS RIVER	NJ	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		14	1140	6335.17		*	14		1140	6335.17
1891979746	ALVARADO	ELISA	PASADENA	CA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		24	720	3766.46		*	13		390	1561.77
